"Municipio";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Angra dos Reis";0.00288843062703111;0.348450395153211;0.648661174219758;0.160666569499101;0.9522;0.220528461279799;0.9633003167936;0.540983606557377;0.176451337475891;0.0945728103170339;0.798504820807563;0.724;0.0861014246559783;0.163637322458163;0.333327096158524;0.0657148737907677;0.0401481703210357;0.0414840334845526
"Aperibé";0.0434763393695655;0.0927974013634003;0.863737307892033;0.164293537787514;0.9007;0.323117595221776;0.869284245569372;0.0327868852459017;0.0225942397845219;0.181085437936593;0.876712328767123;0.692;0.00654794019798689;0.165190869736324;0.146786334684424;0.0167921250723799;0.00376593279258401;0.0660922353862724
"Araruama";0.0132804575810119;0.205731549577997;0.780987992840991;0.281239493443909;0.9314;0.352117705878152;0.950699950003571;0.0655737704918033;0.138358487949101;0.119290703922622;0.61610206775187;0.718;0.0168486061767992;0.0561655567343704;0.264130404443576;0.0495994640913278;0.0377021252827659;0.0804942504106849
"Areal";0.00430893462613765;0.208416364285289;0.787270983284754;0.0595701472330344;0.9321;0.289853803729318;0.868685984417404;0.180327868852459;0.0767362206620108;0.214400859752821;0.377821393523062;0.684;0.0623717282022625;0.176185291497575;0.255714285714286;0.0385714285714286;0.0171428571428571;0.063906154250197
"Armação dos Búzios";0.00164503797126967;0.53037866022319;0.46797684996881;0.199675653760389;0.9576;0.384542815674891;1;0.114754098360656;0.142871994932846;0.0875873186458893;0.706169551708833;0.728;0.199134131140331;0.0617505323321753;0.348876029379034;0.0688849321166259;0.0105415002219263;0.0504716981132075
"Arraial do Cabo";0.0129064783083009;0.195335485790477;0.791760790752515;0.211758446395318;0.958;0.220349990979614;1;0.131147540983607;0.0771213373089357;0.144008597528211;0.626957637997433;0.733;0.0235828284218727;0.0105412527873505;0.384503415071101;0.0597917366476318;0.00759267530147387;0.0601118527872993
"Barra do Piraí";0.0201747987899573;0.263681429613399;0.716143771596643;0.262276719919825;0.9575;0.259311232564519;0.970235708708772;0.213114754098361;0.173342551818449;0.15153143471252;0.657801536919479;0.733;0.0272486925334968;0.229496329526917;0.338299394964544;0.049703988029406;0.0643084725924963;0.04295300597185
"Barra Mansa";0.00897420011462547;0.307352540673897;0.683673259211477;0.256170700099455;0.9632;0.26837745271718;0.990889305056436;0.163934426229508;0.150601488996095;0.113379903277808;0.764595607927156;0.729;0.0401114662453061;0.223132700583623;0.350964089863789;0.0480452856890147;0.116743009744796;0.0408012912441722
"Belford Roxo";0.000289751926626661;0.2276021263716;0.772108121701773;0.22582217600416;0.9527;0.123871800772161;1;0.147540983606557;0.0334584228624722;0.0494357872111768;0.599100802265868;0.684;0.00725709735911014;0.083714587047408;0.25022826034723;0.0198878263436468;0.0190833144559539;0.0701976426069392
"Bom Jardim";0.0921254914018404;0.304498934838469;0.603378319021369;0.177831643895989;0.9017;0.340228160896854;0.602613192278846;0.0819672131147541;0.176214214830619;0.128425577646427;0.562469850458273;0.66;0.028725308119556;0.251122911826529;0.20181753806208;0.0411896612769975;0.0593170270589625;0.0542770299609205
"Bom Jesus do Itabapoana";0.0545974363635911;0.110905789973079;0.83449677366333;0.273702726473175;0.9094;0.258055406512101;0.845132868317754;0.0819672131147541;0.223751965936371;0.530360021493821;0.873825234953009;0.732;0.0156378220562797;0.214676889375685;0.229826965907144;0.0519958882987836;0.0390879478827362;0.0724351190308096
